,Value
0,6.0
1,5.5
2,5.7
3,129.0
4,134.0
5,263.0
6,5.2
7,4.6
8,4.9
9,98.0
10,100.0
11,199.0
12,12.0
13,12.7
14,12.3
15,31.0
16,34.0
17,65.0
18,4.5
19,5.8
20,5.2
21,96.0
22,142.0
23,238.0
24,3.9
25,5.2
26,4.6
27,74.0
28,113.0
29,186.0
30,9.2
31,11.4
32,10.3
33,22.0
34,29.0
35,52.0
36,4.5
37,5.8
38,5.2
39,96.0
40,142.0
41,238.0
42,3.9
43,5.2
44,4.6
45,74.0
46,113.0
47,186.0
48,9.2
49,11.4
50,10.3
51,22.0
52,29.0
53,52.0
54,5.4
55,5.9
56,5.6
57,128.0
58,161.0
59,289.0
60,4.5
61,5.1
62,4.8
63,100.0
64,128.0
65,227.0
72,5.1
73,5.9
74,5.5
75,121.0
76,160.0
77,281.0
78,4.4
79,5.1
80,4.7
81,96.0
82,127.0
83,223.0
90,5.1
91,5.9
92,5.5
93,121.0
94,160.0
95,282.0
96,4.4
97,5.1
98,4.7
99,96.0
100,127.0
101,223.0
108,3.9
109,4.3
110,4.1
111,62.0
112,79.0
113,141.0
114,3.7
115,4.0
116,3.9
117,56.0
118,70.0
119,126.0
120,9.2
121,8.9
122,9.0
123,6.0
124,9.0
125,15.0
126,4.1
127,4.6
128,4.4
129,64.0
130,83.0
131,147.0
132,3.9
133,4.3
134,4.1
135,59.0
136,74.0
137,132.0
138,9.6
139,9.3
140,9.4
141,6.0
142,9.0
143,14.0
144,4.1
145,4.6
146,4.4
147,64.0
148,83.0
149,147.0
150,3.9
151,4.3
152,4.1
153,59.0
154,74.0
155,132.0
156,9.7
157,9.3
158,9.5
159,6.0
160,9.0
161,14.0
216,7.2
217,6.9
218,7.1
219,15.0
220,16.0
221,32.0
222,6.4
223,5.8
224,6.1
225,12.0
226,13.0
227,25.0
234,6.3
235,7.4
236,6.9
237,13.0
238,18.0
239,31.0
240,5.3
241,6.3
242,5.8
243,10.0
244,14.0
245,24.0
252,6.3
253,7.5
254,6.9
255,13.0
256,18.0
257,31.0
258,5.3
259,6.3
260,5.9
261,10.0
262,14.0
263,24.0
270,3.5
271,2.4
272,2.9
273,84.0
274,73.0
275,157.0
276,3.1
277,2.1
278,2.5
279,71.0
280,59.0
281,130.0
282,13.4
283,8.1
284,10.1
285,14.0
286,14.0
287,27.0
288,3.1
289,2.3
290,2.7
291,74.0
292,70.0
293,143.0
294,2.7
295,2.1
296,2.3
297,62.0
298,58.0
299,120.0
300,11.8
301,7.1
302,8.9
303,12.0
304,12.0
305,23.0
306,3.0
307,2.4
308,2.6
309,71.0
310,70.0
311,141.0
312,2.6
313,2.1
314,2.3
315,60.0
316,59.0
317,119.0
318,11.2
319,7.2
320,8.7
321,11.0
322,12.0
323,22.0
324,4.5
325,4.4
326,4.5
327,933.0
328,1051.0
329,1983.0
330,4.1
331,4.2
332,4.2
333,768.0
334,897.0
335,1665.0
336,8.4
337,6.5
338,7.3
339,164.0
340,154.0
341,318.0
342,4.4
343,4.3
344,4.4
345,903.0
346,1033.0
347,1937.0
348,4.3
349,4.2
350,4.2
351,794.0
352,896.0
353,1690.0
354,5.7
355,5.7
356,5.7
357,109.0
358,137.0
359,246.0
360,4.4
361,4.3
362,4.4
363,903.0
364,1033.0
365,1937.0
366,4.3
367,4.2
368,4.2
369,794.0
370,896.0
371,1690.0
372,5.7
373,5.7
374,5.7
375,109.0
376,137.0
377,246.0
378,6.2
379,5.9
380,6.1
381,89.0
382,95.0
383,184.0
384,5.2
385,4.4
386,4.8
387,63.0
388,61.0
389,123.0
392,13.5
395,61.0
396,6.1
397,5.8
398,6.0
399,87.0
400,94.0
401,181.0
402,5.4
403,4.5
404,4.9
405,65.0
406,63.0
407,127.0
410,12.2
413,53.0
414,6.1
417,86.0
418,90.0
419,176.0
420,5.3
421,4.4
422,4.8
423,63.0
424,61.0
425,125.0
431,51.0
486,16.5
487,14.3
488,15.3
489,1657.0
490,1632.0
491,3289.0
492,15.1
493,12.6
494,13.7
495,1423.0
496,1347.0
497,2770.0
498,40.0
499,40.2
500,40.1
501,235.0
502,285.0
503,520.0
504,16.9
505,14.8
506,15.8
507,1703.0
508,1685.0
509,3388.0
510,15.4
511,13.1
512,14.2
513,1466.0
514,1407.0
515,2872.0
516,42.0
517,41.4
518,41.7
519,237.0
520,278.0
