,Mark,Athlete,Date,Country,Location
0,15.52, Dan Ahearn (USA),1911-05-30,USA,"New York City, U.S."
1,15.52, Nick Winter (AUS),1924-07-12,AUS,"Paris, France"
2,15.58, Mikio Oda (JPN),1931-10-27,JPN,"Tokyo, Japan"
3,15.72, Chuhei Nambu (JPN),1932-08-14,JPN,"Los Angeles, U.S."
4,15.78, Jack Metcalfe (AUS),1935-12-14,AUS,"Sydney, Australia"
5,16.00, Naoto Tajima (JPN),1936-08-06,JPN,"Berlin, Germany"
6,16.00, Adhemar da Silva (BRA),1950-12-03,BRA,"São Paulo, Brazil"
7,16.01, Adhemar da Silva (BRA),1951-09-30,BRA,"Rio de Janeiro, Brazil"
8,16.12, Adhemar da Silva (BRA),1952-07-23,BRA,"Helsinki, Finland"
9,16.22, Adhemar da Silva (BRA),1952-07-23,BRA,"Helsinki, Finland"
10,16.23, Leonid Shcherbakov (URS),1953-07-19,URS,"Moscow, Soviet Union"
11,16.56, Adhemar da Silva (BRA),1955-03-16,BRA,"Mexico City, Mexico"
12,16.59, Oleg Ryakhovskiy (URS),1958-07-28,URS,"Moscow, Soviet Union"
13,16.70, Oleg Fyodoseyev (URS),1959-05-03,URS,"Nalchik, Soviet Union"
14,17.03, Józef Szmidt (POL),1960-08-05,POL,"Olsztyn, Poland"
15,17.10, Giuseppe Gentile (ITA),1968-10-16,ITA,"Mexico City, Mexico"
16,17.22, Giuseppe Gentile (ITA),1968-10-17,ITA,"Mexico City, Mexico"
17,17.23, Viktor Sanyeyev (URS),1968-10-17,URS,"Mexico City, Mexico"
18,17.27, Nelson Prudêncio (BRA),1968-10-17,BRA,"Mexico City, Mexico"
19,17.39, Viktor Sanyeyev (URS),1968-10-17,URS,"Mexico City, Mexico"
20,17.40, Pedro Pérez (CUB),1971-08-05,CUB,"Cali, Colombia"
21,17.44, Viktor Sanyeyev (URS),1972-10-17,URS,"Sukhumi, Soviet Union"
22,17.89, João Carlos de Oliveira (BRA),1975-10-15,BRA,"Mexico City, Mexico"
23,17.97, Willie Banks (USA),1985-06-16,USA,"Indianapolis, U.S."
24,17.98, Jonathan Edwards (GBR),1995-07-18,GBR,"Salamanca, Spain"
25,18.16, Jonathan Edwards (GBR),1995-08-07,GBR,"Gothenburg, Sweden"
26,18.29, Jonathan Edwards (GBR),1995-08-07,GBR,"Gothenburg, Sweden"
